Descriere piesa;Material;Grosime;Lungime;Latime;Cantitate;Fibra;Cant_fata_St;Cant_spate_Dr;Cant St_Jos;Cant Dr_Sus;comanda;corp;Cod Bare 1;Cod Bare 2;
Spate;PFL_Alb_;3;769;399;1;1;0;0;0;0;;C_1;;;
Spate;PFL_Alb_;3;152;599;1;1;0;0;0;0;;C_5;;;
Spate;PFL_Alb_;3;769;599;1;1;0;0;0;0;;C_2;;;
Spate;PFL_Alb_;3;769;249;2;1;0;0;0;0;;C_6;;;
Spate;PFL_Alb_;3;300;600;1;1;0;0;0;0;;SS_1;110000000057;;
Spate;PFL_Alb_;3;300;600;1;1;0;0;0;0;;SS_2;110000000064;;
Spate;PFL_Alb_;3;300;600;1;1;0;0;0;0;;SS_3;110000000080;;
Spate;PFL_Alb_;3;300;650;1;1;0;0;0;0;;SS_5;;;
Spate;PFL_Alb_;3;640;600;1;1;0;0;0;0;;S_1;120000000099;;
Spate;PFL_Alb_;3;640;600;1;1;0;0;0;0;;S_2;120000000108;;
Spate;PFL_Alb_;3;640;600;1;1;0;0;0;0;;S_3;120000000115;;
Spate;PFL_Alb_;3;769;479;3;1;0;0;0;0;;C_8;;;
Laterala_ST;Y121_FS01_18;18;770;517;1;1;0.80;0;0.80;0.80;;C_1;120000000001;;
Laterala_DR;Y121_FS01_18;18;770;517;1;1;0.80;0;0.80;0.80;;C_1;110000000002;;
Fund;Y121_FS01_18;18;364;517;1;1;0.80;0.80;0;0;;C_1;110000000003;;
Traversa Fata;Y121_FS01_18;18;364;100;1;1;0.80;0.80;0;0;;C_1;110000000004;;
Traversa Spate;Y121_FS01_18;18;364;100;1;1;0.80;0.80;0;0;;C_1;120000000005;;
Polita;Y121_FS01_18;18;364;497;1;1;0.80;0.80;0;0;;C_1;;;
Suport_filler_1;Y121_FS01_18;18;770;100;1;1;0.80;0.80;0.80;0.80;;Filler_1;110000000007;;
Lat_St;Y121_FS01_18;18;770;520;1;1;0.80;0.80;0.80;0.80;;C_5;120000000009;;
Lat_DR;Y121_FS01_18;18;770;520;1;1;0.80;0.80;0.80;0.80;;C_5;110000000010;;
Fund;Y121_FS01_18;18;564;520;1;1;0.80;0.80;0;0;;C_5;220000000011;210000000011;
Polita1;Y121_FS01_18;18;564;520;1;1;0.80;0.80;0;0;;C_5;120000000012;;
Laterala_ST;Y121_FS01_18;18;770;517;1;1;0.80;0;0.80;0.80;;C_2;120000000018;;
Laterala_DR;Y121_FS01_18;18;770;517;1;1;0.80;0;0.80;0.80;;C_2;110000000019;;
Fund;Y121_FS01_18;18;564;517;1;1;0.80;0.80;0;0;;C_2;120000000020;;
Traversa Fata;Y121_FS01_18;18;564;100;1;1;0.80;0.80;0;0;;C_2;110000000021;;
Traversa Spate;Y121_FS01_18;18;564;100;1;1;0.80;0.80;0;0;;C_2;120000000022;;
Spate;Y121_FS01_18;18;250;764;1;1;0;0;0.80;0.80;;C_3;120000000038;;
Laterala_ST;Y121_FS01_18;18;770;520;1;1;0.80;0.80;0.80;0.80;;C_3;120000000039;;
Laterala_DR;Y121_FS01_18;18;770;520;1;1;0.80;0.80;0.80;0.80;;C_3;110000000040;;
Fund;Y121_FS01_18;18;764;520;1;1;0.80;0.80;0;0;;C_3;120000000041;;
Laterala_ST;Y121_FS01_18;18;770;517;1;1;0.80;0;0.80;0.80;;C_6;120000000044;;
Laterala_DR;Y121_FS01_18;18;770;517;1;1;0.80;0;0.80;0.80;;C_6;110000000045;;
Fund;Y121_FS01_18;18;214;517;1;1;0.80;0.80;0;0;;C_6;110000000046;;
Traversa Spate;Y121_FS01_18;18;214;517;1;1;0.80;0.80;0;0;;C_6;110000000047;;
Laterala_ST;Y121_FS01_18;18;300;340;1;1;0.80;0;0.80;0.80;;SS_1;110000000058;;
Laterala_DR;Y121_FS01_18;18;300;340;1;1;0.80;0;0.80;0.80;;SS_1;120000000059;;
Fund;Y121_FS01_18;18;564;340;1;1;0.80;0;0;0;;SS_1;120000000060;;
